audit_id,transaction_id,customer_name,attempt_number,root_cause,severity,action,bounded_by,outcome_status,recovered_amount,time_to_recovery_hours,timestamp
AUD00001,TXN20260800083,Riya Rao,1,authentication_failure,low,retry_payment_link,,recovered,410,0.5,2026-09-02T08:58:59.780Z
AUD00002,TXN20260800070,Rohan Joshi,1,authentication_failure,medium,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.780Z
AUD00003,TXN20260800070,Rohan Joshi,2,authentication_failure,medium,reminder_nudge,no_repeat_action_policy,not_recovered,0,,2026-09-02T08:58:59.780Z
AUD00004,TXN20260800070,Rohan Joshi,3,authentication_failure,medium,escalate_to_human,final_attempt_policy,recovered,299,40,2026-09-02T08:58:59.780Z
AUD00005,TXN20260800029,Dhruv Rao,1,issuer_decline,high,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.780Z
AUD00006,TXN20260800029,Dhruv Rao,2,issuer_decline,high,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.780Z
AUD00007,TXN20260800029,Dhruv Rao,3,issuer_decline,high,escalate_to_human,final_attempt_policy,recovered,499,27.1,2026-09-02T08:58:59.780Z
AUD00008,TXN20260800016,Manish Kulkarni,1,user_abandonment,medium,reminder_nudge,,recovered,4510,11.2,2026-09-02T08:58:59.780Z
AUD00009,TXN20260800085,Kabir Patel,1,transient_infra,low,retry_payment_link,,recovered,230,0.2,2026-09-02T08:58:59.780Z
AUD00010,TXN20260800022,Pooja Rao,1,insufficient_funds,high,reminder_nudge,,recovered,2499,6,2026-09-02T08:58:59.780Z
AUD00011,TXN20260800073,Aditya Mehta,1,transient_infra,medium,retry_payment_link,,recovered,3140,1.4,2026-09-02T08:58:59.781Z
AUD00012,TXN20260800079,Suresh Mehta,1,insufficient_funds,low,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00013,TXN20260800079,Suresh Mehta,2,insufficient_funds,low,retry_payment_link,,recovered,600,0.4,2026-09-02T08:58:59.781Z
AUD00014,TXN20260800053,Neha Agarwal,1,user_abandonment,medium,reminder_nudge,,recovered,3700,14.1,2026-09-02T08:58:59.781Z
AUD00015,TXN20260800054,Vikram Sheikh,1,user_abandonment,low,reminder_nudge,,not_recovered,0,,2026-09-02T08:58:59.781Z
AUD00016,TXN20260800054,Vikram Sheikh,2,user_abandonment,low,retry_payment_link,,not_recovered,0,,2026-09-02T08:58:59.781Z
